년/월/일,종가,대비,거래량(주),거래대금(원),시가,고가,저가,시가총액(백만),상장주식수(주)
2020/02/14,"61,800","1,100","13,276,067","814,138,135,400","60,900","61,900","60,200","368,932,562","5,969,782,550"
2020/02/13,"60,700","200","18,449,775","1,127,648,710,000","61,200","61,600","60,500","362,365,801","5,969,782,550"
2020/02/12,"60,500","600","12,904,207","776,552,625,500","60,300","60,700","59,700","361,171,844","5,969,782,550"
2020/02/11,"59,900","200","11,071,231","665,611,292,200","59,800","60,700","59,700","357,589,975","5,969,782,550"
2020/02/10,"59,700","-700","13,107,121","779,716,562,160","59,200","59,800","59,100","356,396,018","5,969,782,550"
2020/02/07,"60,400","-700","16,402,493","989,081,174,058","61,100","61,200","59,700","360,574,866","5,969,782,550"
2020/02/06,"61,100","1,600","14,727,159","889,351,613,760","60,100","61,100","59,700","364,753,714","5,969,782,550"
2020/02/05,"59,500","600","19,278,165","1,147,948,101,875","60,000","60,200","58,900","355,202,062","5,969,782,550"
2020/02/04,"58,900","1,700","21,800,192","1,271,098,154,792","57,100","59,000","56,800","351,620,192","5,969,782,550"
2020/02/03,"57,200","800","23,995,260","1,354,043,037,985","55,500","57,400","55,200","341,471,562","5,969,782,550"
2020/01/31,"56,400","-800","19,749,457","1,132,894,868,886","57,800","58,400","56,400","336,695,736","5,969,782,550"
2020/01/30,"57,200","-1,900","20,821,939","1,202,914,994,182","58,800","58,800","56,800","341,471,562","5,969,782,550"
2020/01/29,"59,100","300","16,446,102","975,344,481,100","59,100","59,700","58,800","352,814,149","5,969,782,550"
2020/01/28,"58,800","-2,000","23,664,541","1,394,361,672,900","59,400","59,400","58,300","351,023,214","5,969,782,550"
2020/01/23,"60,800","-1,500","14,916,555","912,319,470,070","61,800","61,800","60,700","362,962,779","5,969,782,550"
2020/01/22,"62,300","900","15,339,565","943,882,357,729","60,500","62,600","60,400","371,917,453","5,969,782,550"
2020/01/21,"61,400","-1,000","11,142,693","686,991,404,500","62,000","62,400","61,200","366,544,649","5,969,782,550"
2020/01/20,"62,400","1,100","12,528,855","781,048,125,700","62,000","62,800","61,700","372,514,431","5,969,782,550"
2020/01/17,"61,300","600","16,025,661","984,566,747,211","61,900","62,000","61,000","365,947,670","5,969,782,550"
2020/01/16,"60,700","1,700","14,381,774","862,500,254,132","59,100","60,700","59,000","362,365,801","5,969,782,550"
2020/01/15,"59,000","-1,000","14,300,928","846,497,803,148","59,500","59,600","58,900","352,217,170","5,969,782,550"
2020/01/14,"60,000","0","16,906,295","1,021,497,902,472","60,400","61,000","59,900","358,186,953","5,969,782,550"
2020/01/13,"60,000","500","11,359,139","677,775,904,500","59,600","60,000","59,100","358,186,953","5,969,782,550"
2020/01/10,"59,500","900","16,000,170","945,370,595,609","58,800","59,700","58,300","355,202,062","5,969,782,550"
2020/01/09,"58,600","1,800","24,102,579","1,402,996,580,240","58,400","58,600","57,400","349,829,257","5,969,782,550"
